rep,q_min_global,q_min_observed,q_min_protected,q_path_min,q_path_median,q_path_q05,q_path_q95,augmented_eig_min,tail_margin,nll,time_sec
74,0.00027420418155088555,3141.517879932947,2287.9755204770045,3169.2559948134854,4618.464218712843,3372.6642148322044,16447.604693456313,5.943485641353333e-08,79.97189723233362,8154.266790625541,3.778111124999981
75,4016.6669926157483,4016.666992615748,4016.6669926157447,4016.666992641153,5067.750880367606,4025.831572611008,17042.380699993446,-6.377364284912531e-14,76.8045837757958,8367.669495516904,2.9861642500000016
76,4769.260948242732,4769.260948242731,4769.2609482427315,4769.262337445372,6001.827881031639,4776.2954504784575,16968.743773087608,-7.21213488147586e-14,106.61146004941409,8047.929485621664,3.289342167000001
77,4134.432148428556,4134.432148428556,4134.432148428556,4134.432148452112,4962.828980891179,4139.88476209875,14659.068797659116,5.009071623234423e-13,102.78217024891654,7986.287884559063,3.195421500000009
78,3821.2645991069944,3821.2645991069935,3821.264599106991,3821.279520632411,5345.782864986905,3837.218028118529,18474.32365077567,-3.291392901604624e-14,85.66095076704764,8222.613684439248,2.9418962500000134
79,0.0002748542610788718,3549.140003905342,3448.660915655296,3552.57207784216,4600.165920911181,3612.1430756351256,16752.248785429594,7.061007364685137e-10,82.56085856942975,8064.424684355517,3.0612228749999986
80,0.0002772080297290813,4731.209867382418,3928.2414520767225,4793.897777024799,7069.816264648738,5082.597781286514,18109.155411946416,3.1408097445443666e-09,102.35670177758917,8500.75183072944,3.396723750000035
81,0.000273647307039937,4062.520248153625,3319.8774166506737,4090.7714855914974,5102.699427562155,4240.126944081275,13053.964664471334,2.657414576322953e-08,103.04413768309229,7984.167931259886,3.100034040999958
82,4099.231474224932,4099.231474224931,4099.23147422492,4099.23159602707,5051.9321371452825,4110.3475543197055,14064.39610599076,-5.255191526431948e-13,107.3964565007286,7888.66358235898,2.768821750000029
83,3369.0485492894422,3369.0485492894422,3369.048549289442,3369.048665391787,4273.994243444446,3378.844487507842,17510.419621289388,-1.8350050357834207e-14,72.18319707977902,8171.134194746125,3.714959165999971
84,0.0002714601796469651,3290.6181849741,2559.5624365352596,3320.684056085508,5406.915107829257,3483.774670573706,18827.507906292794,8.02276856268735e-09,100.25802554753456,7954.732394018014,3.2041835840000203
85,4076.765682222829,4076.765682222829,4076.765682222829,4076.765684820541,4852.094395927731,4085.315340376215,14420.915201893811,6.10308051928692e-14,90.76676985065345,8117.773295406728,3.035433040999976
86,0.000274452295343508,3185.045846683239,1736.2027145368857,3257.2305316354878,5205.596776729699,3537.6810169650275,16525.59172684707,7.77765377374247e-08,93.57115642453299,8020.525877377366,3.25262883299996
87,0.00027713801136997063,3751.43148255178,1992.2671123574505,3755.653552135614,5560.423013407146,4068.058976799694,13156.642068111352,6.780235860701708e-07,111.39071739217566,7939.49185494935,3.129897790999962
88,5191.592196923985,5191.592196923984,5191.59219692398,5191.59256774363,5983.221810479022,5197.955034484821,14868.7814460961,9.658920390087513e-14,105.72364046786335,8305.158236178617,2.9127026249999517
89,0.00027387345107854344,4638.285304098398,4551.274744875122,4644.2142664643225,5717.160691773521,4694.1043882390095,15800.854110565608,1.451162124493691e-10,98.73041830213461,8207.649025972147,3.168599874999984
90,0.000275677812169306,3977.5406980936764,895.593433899473,4047.0974491794623,7257.108853302701,4541.143748089617,12050.465665040947,7.007018182570339e-07,118.33777034496111,8182.93612784978,3.996667082999977
91,3906.1528050849975,3906.1528050849975,3906.152805084998,3906.1528887083864,4763.191155134349,3917.4530005048923,14491.442739626573,4.256410755158852e-13,95.03189965226272,7993.396775660845,3.528377834000026
92,0.0002743769346125191,2972.2809246244033,1876.669396996207,3026.359347083045,4709.853629183977,3248.3302124909583,16235.750666720336,6.598352462498367e-08,78.61343119824906,8224.829957432932,3.473324290999983
93,0.0002746645659499336,2686.5079654054803,1847.7614704878793,2717.6412775463114,4291.137128729299,2929.727264962913,18301.898299535143,9.606946381657981e-08,69.09689112534652,8152.799740687944,3.4292438749999974
