model,source,rep,X_mean,X_sd,X_q05,X_q50,X_q95,Vhat_mean,Vhat_sd,Vhat_q05,Vhat_q50,Vhat_q95
M2,simulated,91,-0.013679282402257036,0.9299091348053032,-1.3969030216719938,-0.03503632358063868,1.3150870609387333,-0.0493827750750496,6.304699298156363,-8.251919233714329,-0.2788114122132663,9.045398963648205
M2,simulated,92,0.36230187883747966,0.7272144586545062,-1.0190454117396883,0.4935967273718247,1.3473202855684663,-0.01566029753541452,6.147003252628273,-8.948468016957637,-0.13370011708629115,10.051258873653193
M2,simulated,93,-0.23532183992946842,0.8772425998995302,-1.4284175676440776,-0.3885336168068846,1.314357858234399,-0.056104617539018554,6.388668081699705,-8.97990619019034,-0.5006473166546626,10.1399346912087
M2,simulated,94,0.12244859696985382,0.820436186480937,-1.261893416509736,0.20703151870760542,1.3117361507227299,-0.016198673479579283,6.329491252785575,-7.886945898172199,-0.38481094667804294,9.157971264869497
M2,simulated,95,0.06434156885392744,0.8056119583537826,-1.1924924078700456,0.018607611947503246,1.3687312272255225,-0.028947115492834918,6.19553217429626,-8.417729040377356,-0.19291871141424305,9.255400481797167
M2,simulated,96,0.26969081146985957,0.8101157788733648,-1.190567663162379,0.48238385997428757,1.3231715137138005,-0.027029795939258007,6.766540453495925,-8.794431882027851,-0.39585996562215375,9.753750930103239
M2,simulated,97,0.1504782609431878,0.8624106420141913,-1.2647915004941137,0.20912285336262493,1.3945418489376546,-0.00818017465993588,6.1078226963386735,-8.444053887498024,-0.24763756069444143,9.405213494140447
M2,simulated,98,-0.050017027210213054,0.8651591223288794,-1.3419537636549292,-0.04123882694994131,1.254205989152341,-0.02865142322834026,6.4122072102607195,-8.475525547884862,-0.296543821770974,9.606834350514614
M2,simulated,99,-0.1615162504468532,0.8530280501473779,-1.3725209943803551,-0.26030020105695906,1.2728148171895242,-0.04780181088727027,6.242031813087045,-8.71640267891337,-0.37902520691588115,9.692143478711797
M3,observed,-1,0.0008541781040973775,1.0007824536806302,-1.3079278833873498,-0.27851855158331507,1.4521437141671647,-0.06830038896095775,7.3968083109648735,-10.506040118005261,-0.34331503721695134,10.602681743182268
M3,simulated,0,0.10458302033882597,0.9181449775788059,-1.3055103666191197,0.16719203102646837,1.4395734246429672,-0.053110708514749146,7.671076939541825,-8.862112923520469,-0.5993294550620698,9.549978662333208
M3,simulated,1,-0.1728454712445446,0.8539550228479715,-1.4261179464320206,-0.2562464040975079,1.227760806551129,-0.037086152865840896,6.3380607506363145,-8.863094305660097,-0.367431581528635,9.901997073184868
M3,simulated,2,-0.19623883395512867,0.8487148403447122,-1.3163731936519025,-0.35948171644887206,1.2957310434168734,-0.037714947719018156,6.026988045594913,-8.673298109986693,-0.3585683361501446,9.497699281364387
M3,simulated,3,-0.16063429532146192,0.8501495251173457,-1.379320105179838,-0.23708784801979693,1.214451136794107,0.0008471776243405202,6.3529034778805915,-8.227530741823076,-0.3840484282616838,9.627662365354103
M3,simulated,4,-0.34511035734805295,0.8234131613286595,-1.407026132608525,-0.5138457707101749,1.3613570557276535,-0.03312035199681958,6.29291439725478,-8.490029097048541,-0.36783441539250705,9.839173348642763
M3,simulated,5,-0.3497402823441692,0.8092844586698811,-1.4272368957053836,-0.5253526854099472,1.1443362857803878,-0.05409862821672372,6.5680595925009815,-9.260839248118609,-0.22488156267393422,9.412334609687587
M3,simulated,6,-0.1803078671016437,0.8877012817226492,-1.401982423885957,-0.29496673012801156,1.2762324876313444,-0.03907056920924994,6.518257302800849,-8.69990212305637,-0.36815841572082064,9.828104358755047
M3,simulated,7,-0.20860968067242402,0.8017624343596356,-1.3451888130760121,-0.3228317021909071,1.1245825921370545,-0.031111745654166294,6.029565292457566,-8.389539861829713,-0.37916381253830234,9.030370992874223
M3,simulated,8,-0.06988262651396522,0.9345422560190199,-1.3608592699485846,-0.16310820109528484,1.3342584251220708,-0.05160182698904623,5.756636638191308,-8.074166311787788,-0.25623531512223574,9.313025445560866
M3,simulated,9,-0.003440823038831695,0.866181123012539,-1.2824795363326011,-0.01790483373365136,1.380979044692662,-0.050360630850997026,6.467711250440401,-8.978282113802718,-0.2719653342759032,9.532296610087789
M3,simulated,10,-0.2968832843093452,0.8413625348471926,-1.443104253007177,-0.3833295620476138,1.2185776699745785,0.003685511144844645,6.754453004478862,-8.300512850789948,-0.3617772750198506,9.237875647291247
M3,simulated,11,-0.5103942454676952,0.6986712777907549,-1.407989389105014,-0.6718310118428273,0.8626585598040285,-0.056246755851989926,5.385227260913352,-7.950791943250697,-0.26176041501692615,8.541088908545483
M3,simulated,12,-0.20737981415978823,0.8422448332194327,-1.3583668589213762,-0.34971507427238124,1.2021886337617136,-0.016165444926997913,7.287420440615129,-8.190846315348033,-0.3863108478763061,9.260333959642855
M3,simulated,13,-0.18155624943166768,0.844469012784266,-1.3835740660125047,-0.3363022202030882,1.2744132456496617,-0.045468388356270296,6.043530446809584,-8.202814213611731,-0.3534092098987848,9.457246045008295
M3,simulated,14,-0.05203224931427653,0.8544933885829704,-1.3128353228127458,-0.06403098069609776,1.2924238996365776,-0.05357003925494242,6.978151107560573,-8.69754364143976,-0.3379106119490133,9.078291556844052
