model,variable,value,observed_density,simulated_q025,simulated_median,simulated_q975
M2,Vhat,16.580407137469408,0.002432830354221,0.0015695679704651616,0.002354351955697742,0.003060657542407065
M2,Vhat,21.677351105833566,0.0008632623837558437,0.00042966923191484034,0.0009417407822791021,0.0015322907311666218
M2,Vhat,26.774295074197724,0.001020219180802355,7.847839852325807e-05,0.0003923919926162904,0.0007847839852325808
M2,Vhat,31.871239042561882,0.0010986975793256192,0.0,0.00023543519556977553,0.00047096931349063076
M2,Vhat,36.96818301092604,0.0003923919926162904,0.0,0.00015695679704651614,0.00027668110538187725
M2,Vhat,42.0651269792902,7.84783985232585e-05,0.0,7.84783985232585e-05,0.00023543519556977553
M2,Vhat,47.16207094765436,7.847839852325807e-05,0.0,0.0,0.00023552940733270728
M2,Vhat,52.259014916018515,0.0,0.0,0.0,0.000156956797046517
M2,Vhat,57.35595888438267,0.0,0.0,0.0,7.850980244423576e-05
M2,Vhat,62.45290285274683,0.0,0.0,0.0,0.000156956797046517
M2,Vhat,67.54984682111099,0.0,0.0,0.0,7.849488558177136e-05
M2,Vhat,72.64679078947515,0.0,0.0,0.0,7.84783985232585e-05
M2,Vhat,77.7437347578393,0.0,0.0,0.0,7.847839852325807e-05
M2,Vhat,82.84067872620346,0.0,0.0,0.0,7.84783985232585e-05
M2,Vhat,87.93762269456761,0.0,0.0,0.0,7.84783985232585e-05
M2,Vhat,93.03456666293177,0.0,0.0,0.0,0.0
M2,Vhat,98.13151063129592,0.0,0.0,0.0,0.0
M2,Vhat,103.22845459966008,0.0,0.0,0.0,0.0
M2,Vhat,108.32539856802424,0.0,0.0,0.0,7.84783985232585e-05
M2,Vhat,113.42234253638838,0.0,0.0,0.0,0.0
M2,Vhat,118.51928650475256,0.0,0.0,0.0,0.0
M2,Vhat,123.61623047311673,0.0,0.0,0.0,0.0
M2,Vhat,128.71317444148087,0.0,0.0,0.0,0.0
M2,Vhat,133.81011840984502,0.0,0.0,0.0,0.0
M2,Vhat,138.9070623782092,0.0,0.0,0.0,0.0
M2,Vhat,144.00400634657336,0.0,0.0,0.0,0.0
M2,Vhat,149.1009503149375,0.0,0.0,0.0,0.0
M2,X,-5.807616368439382,0.0,0.0,0.0,0.0
M2,X,-5.616024622549432,0.0,0.0,0.0,0.0
M2,X,-5.424432876659482,0.0,0.0,0.0,0.0
M2,X,-5.232841130769534,0.0,0.0,0.0,0.0
M2,X,-5.041249384879585,0.0,0.0,0.0,0.0
M2,X,-4.849657638989636,0.0,0.0,0.0,0.0
M2,X,-4.658065893099687,0.0,0.0,0.0,0.0
M2,X,-4.466474147209738,0.0,0.0,0.0,0.0
M2,X,-4.274882401319789,0.0,0.0,0.0,0.0
M2,X,-4.08329065542984,0.0,0.0,0.0,0.0
M2,X,-3.891698909539891,0.0,0.0,0.0,0.0
