rep,success,seed,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,convergence,time_sec
145,True,20260748,,M4,asymmetric drift with position-velocity diffusion,70.03658002189907,-74.79256146360582,1.7187685762733256,54.71814959710734,-10.91061759630992,34.29732724951322,-7.242532909822772,4959.789726167559,675.4902694571045,-304.41754762452297,32.14177727259214,8195.379430932313,0,2.958548415999985
146,True,20260749,,M4,asymmetric drift with position-velocity diffusion,67.77683649628449,-103.66275271056487,-7.356069769917444,109.04131507720372,-3.6876078584822833,34.96121637144124,82.31499638605946,4985.119874245965,127.10976953711986,-130.3856133673207,-484.3524390135716,8189.43083377616,0,3.4903419580000445
147,True,20260750,,M4,asymmetric drift with position-velocity diffusion,67.97755881821494,-89.16001049781777,-21.96913001767157,80.94772027876303,27.649935090650892,40.953968465466545,285.35852036339327,4430.7391708905725,435.7112110335428,-267.1636442086981,-930.7696550893662,8033.752198515182,0,3.163055708999991
148,True,20260751,,M4,asymmetric drift with position-velocity diffusion,71.20624766896483,-63.325405484094375,11.022837371136118,43.482158672634824,-15.404659792969523,84.5472954452617,297.48037765477903,3204.167252502891,151.8871347246742,-226.60608232380173,-422.4530605471394,8418.434781976452,0,2.405625749999956
149,True,20260752,,M4,asymmetric drift with position-velocity diffusion,69.08466879426828,-86.32191799174032,-12.04945114761951,77.872967490911,-8.822929865587144,49.14877237471031,221.9688863355915,3944.6101445516983,82.73612122893859,-127.53632877651044,-287.9939365527107,8031.84538994566,0,4.3264779589999875
150,True,20260753,,M4,asymmetric drift with position-velocity diffusion,69.91247694042923,-62.77133919506628,18.124341004548935,23.82773329272887,-23.35517014873693,38.97111368362207,224.79014915320184,4399.593202993616,496.3904643632327,-278.14398213453035,-842.4216915982166,8078.747913916192,0,3.554329709000001
151,True,20260754,,M4,asymmetric drift with position-velocity diffusion,64.04298917554006,-96.17290656031642,2.924664901159664,89.13533830973589,-5.885216457535472,37.40449792647105,159.35042167485855,4075.093443918626,214.33512235012876,-179.07649359438898,-381.4503114360242,8052.377767375579,0,3.332399415999987
152,True,20260755,,M4,asymmetric drift with position-velocity diffusion,65.3424927440112,-98.317959751172,13.591147763998,76.68485257077171,-19.51814738549416,58.674559845862674,256.4160539023793,3561.2348951562394,657.0106072714622,-392.68200437751057,-860.1022412265352,8323.829228143168,0,2.664533125000048
153,True,20260756,,M4,asymmetric drift with position-velocity diffusion,72.14553289020755,-119.31048459787984,-7.032455140101982,120.7888092802628,4.084559760818529,37.67045795182952,81.49255715863468,4336.515455842267,309.53126938885765,-215.96466996515312,-233.5983442766481,7896.2140310228115,0,2.46863637499996
154,True,20260757,,M4,asymmetric drift with position-velocity diffusion,70.78132456754393,-91.7341335069038,-14.16619336691803,92.6397219196838,6.373763948160989,65.605692804676,192.38079108857212,3585.73003852049,260.56094688366585,-261.4902020202308,-383.3942587599431,8174.706040945092,0,3.3866642080000133
