k,age_ka,X,Vhat,q_observed_fit,q_boot_q025,q_boot_q50,q_boot_q975,q_ratio_q025,q_ratio_q50,q_ratio_q975
1932,41.36,0.9174387695931081,0.3033607840551955,3910.022622275048,2899.2444758125434,3951.8430916409197,5576.184628092911,0.7414904607701776,1.0106957103336498,1.4261259247774905
1933,41.34,0.923505985274212,4.108460318137075,4956.0951252363975,3091.9280459988013,4344.623839711705,5867.47357174916,0.6238637410841306,0.8766223669898736,1.183890426531975
1934,41.32,1.0056751916369535,-5.12571424947339,5699.124818213646,4400.2459204343995,5955.783099034172,9165.825468570047,0.7720915159415,1.0450346832201813,1.6082864932659988
1935,41.3,0.9031609066474857,-2.6245410944832237,4343.658626038525,3399.594920043221,4591.63810622177,6593.522840441734,0.7826570208957,1.0570900021232577,1.5179652472954845
1936,41.28,0.8506700847578212,2.5233833663741434,4344.657464783325,2947.709199551533,4036.829426708512,5486.029710471128,0.6784675715968187,0.9291479154409783,1.2627070729831922
1937,41.26,0.9011377520853041,-2.5980580122151764,4333.699713530185,3391.3740883285163,4581.911556835548,6571.391169590086,0.7825586248489605,1.0572748136033572,1.5163466792758238
1938,41.24,0.8491765918410006,-1.8417903150271142,4100.7266472975325,3206.2655084080197,4290.685413947254,6070.601609351133,0.781877404708509,1.0463231965912454,1.4803721709545774
1939,41.22,0.8123407855404583,-2.8456470759287367,4364.291044417352,3425.6550559617713,4606.3752215791055,6554.214596343139,0.7849281867541233,1.055469301817398,1.5017821977585708
1940,41.2,0.7554278440218836,-7.091589986036206,6859.875026501106,5102.6091337292555,6870.89625676951,10178.640635006534,0.7438341243851861,1.0016066226025733,1.4837938877434873
1941,41.18,0.6135960443011594,-0.6277283654558374,3919.4397933016216,2962.7673283591294,3976.403373331642,5440.94932218971,0.755916019790007,1.0145336025131377,1.3881956629333534
1942,41.16,0.6010414769920427,0.834505889346282,4045.065453347448,2879.0583943051956,3956.812401369958,5344.139711217062,0.7117458116586627,0.9781825404322055,1.3211503677386924
1943,41.14,0.6177315947789683,2.5593235047802754,4528.604846219628,3072.97878361751,4163.541157598639,5550.628322619932,0.6785707492634868,0.919387162047107,1.225681752130232
1944,41.12,0.6689180648745738,0.017806267994435743,3929.9708079856873,2920.3732470116965,3945.9203857552684,5397.984922055639,0.7431030380880967,1.0040584468813794,1.3735432617176069
1945,41.1,0.6692741902344626,0.6407758980068845,3990.926311920147,2881.1465186646674,3940.2220835387825,5359.107367296117,0.7219242585510097,0.9872951228816427,1.3428229309294615
1946,41.08,0.6820897081946002,13.397244170532563,16034.419448904904,7895.35701719041,12026.046778957872,17333.05690201198,0.49240055384291675,0.7500144808659854,1.0809906125535322
1947,41.06,0.9500345916052515,2.514732790119556,4277.050898237083,2908.248496778753,3990.0160395114253,5448.344767260715,0.679965837670409,0.932889538713704,1.2738554898905732
1948,41.04,1.0003292474076426,-10.431540680697537,11058.74027252424,7504.547989337107,10852.375529456891,16172.98071085185,0.6786078526486758,0.9813392178510543,1.4624613936393904
1949,41.02,0.7916984337936919,-7.6600649505559115,7435.310083194217,5395.895903885821,7428.667999331852,11040.352272402708,0.7257122895361129,0.9991066836772042,1.4848543166150994
