model,source,rep,barrier,lower_occupancy,upper_occupancy,n_switches,lower_wait_mean,upper_wait_mean,lower_wait_median,upper_wait_median
M3,simulated,49,0.139189375631117,0.55,0.45,51,1057.6923076923076,865.3846153846154,360.0,350.0
M3,simulated,50,0.139189375631117,0.6188,0.3812,48,1289.1666666666667,762.4,150.0,120.0
M3,simulated,51,0.139189375631117,0.6568,0.3432,53,1216.2962962962963,635.5555555555555,420.0,200.0
M3,simulated,52,0.139189375631117,0.6172,0.3828,69,881.7142857142857,546.8571428571429,120.0,200.0
M3,simulated,53,0.139189375631117,0.3244,0.6756,70,463.42857142857144,938.3333333333334,100.0,460.0
M3,simulated,54,0.139189375631117,0.7624,0.2376,55,1361.4285714285713,424.2857142857143,440.0,170.0
M3,simulated,55,0.139189375631117,0.536,0.464,63,837.5,725.0,120.0,310.0
M3,simulated,56,0.139189375631117,0.6448,0.3552,61,1040.0,572.9032258064516,140.0,140.0
M3,simulated,57,0.139189375631117,0.5612,0.4388,110,510.1818181818182,391.7857142857143,80.0,150.0
M3,simulated,58,0.139189375631117,0.5116,0.4884,82,623.9024390243902,581.4285714285714,180.0,100.0
M3,simulated,59,0.139189375631117,0.6244,0.3756,58,1076.551724137931,626.0,260.0,260.0
M3,simulated,60,0.139189375631117,0.538,0.462,77,689.7435897435897,592.3076923076923,120.0,240.0
M3,simulated,61,0.139189375631117,0.5508,0.4492,67,810.0,660.5882352941177,380.0,130.0
M3,simulated,62,0.139189375631117,0.5608,0.4392,45,1219.1304347826087,954.7826086956521,260.0,460.0
M3,simulated,63,0.139189375631117,0.564,0.436,47,1175.0,908.3333333333334,250.0,370.0
M3,simulated,64,0.139189375631117,0.5512,0.4488,68,810.5882352941177,641.1428571428571,230.0,180.0
M3,simulated,65,0.139189375631117,0.5444,0.4556,69,777.7142857142857,650.8571428571429,160.0,100.0
M3,simulated,66,0.139189375631117,0.558,0.442,61,900.0,712.9032258064516,360.0,120.0
M3,simulated,67,0.139189375631117,0.6936,0.3064,49,1387.2,612.8,280.0,220.0
M3,simulated,68,0.139189375631117,0.4252,0.5748,81,518.5365853658536,700.9756097560976,120.0,260.0
M3,simulated,69,0.139189375631117,0.6588,0.3412,74,890.2702702702703,448.94736842105266,160.0,110.0
M3,simulated,70,0.139189375631117,0.6296,0.3704,37,1656.842105263158,974.7368421052631,740.0,240.0
M3,simulated,71,0.139189375631117,0.6292,0.3708,44,1430.0,806.0869565217391,510.0,380.0
M3,simulated,72,0.139189375631117,0.6012,0.3988,71,835.0,553.8888888888889,220.0,250.0
M3,simulated,73,0.139189375631117,0.4548,0.5452,54,842.2222222222222,973.5714285714286,100.0,530.0
M3,simulated,74,0.139189375631117,0.6044,0.3956,50,1208.8,760.7692307692307,420.0,120.0
M3,simulated,75,0.139189375631117,0.5816,0.4184,55,1038.5714285714287,747.1428571428571,420.0,240.0
M3,simulated,76,0.139189375631117,0.5016,0.4984,59,836.0,830.6666666666666,500.0,130.0
M3,simulated,77,0.139189375631117,0.606,0.394,90,673.3333333333334,428.2608695652174,260.0,100.0
M3,simulated,78,0.139189375631117,0.6856,0.3144,80,857.0,383.4146341463415,120.0,120.0
M3,simulated,79,0.139189375631117,0.6532,0.3468,68,960.5882352941177,495.42857142857144,200.0,120.0
M3,simulated,80,0.139189375631117,0.7368,0.2632,69,1052.5714285714287,376.0,180.0,120.0
M3,simulated,81,0.139189375631117,0.62,0.38,59,1033.3333333333333,633.3333333333334,240.0,180.0
M3,simulated,82,0.139189375631117,0.468,0.532,78,600.0,665.0,100.0,130.0
M3,simulated,83,0.139189375631117,0.7192,0.2808,75,946.3157894736842,369.4736842105263,230.0,140.0
M3,simulated,84,0.139189375631117,0.616,0.384,54,1140.7407407407406,685.7142857142857,140.0,110.0
M3,simulated,85,0.139189375631117,0.5404,0.4596,34,1589.4117647058824,1276.6666666666667,180.0,970.0
M3,simulated,86,0.139189375631117,0.6944,0.3056,49,1388.8,611.2,340.0,120.0
M3,simulated,87,0.139189375631117,0.5416,0.4584,68,796.4705882352941,654.8571428571429,120.0,140.0
M3,simulated,88,0.139189375631117,0.558,0.442,71,775.0,613.8888888888889,170.0,150.0
M3,simulated,89,0.139189375631117,0.5344,0.4656,41,1272.3809523809523,1108.5714285714287,160.0,560.0
M3,simulated,90,0.139189375631117,0.7376,0.2624,53,1365.9259259259259,485.9259259259259,100.0,140.0
M3,simulated,91,0.139189375631117,0.424,0.576,81,517.0731707317074,702.439024390244,120.0,240.0
M3,simulated,92,0.139189375631117,0.5716,0.4284,55,1020.7142857142857,765.0,210.0,410.0
M3,simulated,93,0.139189375631117,0.4852,0.5148,62,782.5806451612904,804.375,140.0,260.0
M3,simulated,94,0.139189375631117,0.6576,0.3424,65,996.3636363636364,518.7878787878788,100.0,260.0
M3,simulated,95,0.139189375631117,0.48,0.52,77,615.3846153846154,666.6666666666666,140.0,140.0
M3,simulated,96,0.139189375631117,0.708,0.292,63,1106.25,456.25,280.0,140.0
M3,simulated,97,0.139189375631117,0.4116,0.5884,42,980.0,1337.2727272727273,240.0,370.0
M3,simulated,98,0.139189375631117,0.6892,0.3108,68,1013.5294117647059,444.0,160.0,140.0
M3,simulated,99,0.139189375631117,0.594,0.406,63,928.125,634.375,290.0,300.0
M4,observed,-1,0.139189375631117,0.5476,0.4524,45,1190.4347826086957,983.4782608695652,800.0,520.0
M4,simulated,0,0.139189375631117,0.5736,0.4264,74,775.1351351351351,561.0526315789474,280.0,170.0
M4,simulated,1,0.139189375631117,0.5676,0.4324,50,1135.2,831.5384615384615,260.0,280.0
M4,simulated,2,0.139189375631117,0.7184,0.2816,57,1238.6206896551723,485.51724137931035,80.0,100.0
M4,simulated,3,0.139189375631117,0.5944,0.4056,41,1415.2380952380952,965.7142857142857,620.0,400.0
M4,simulated,4,0.139189375631117,0.5508,0.4492,68,810.0,641.7142857142857,150.0,300.0
M4,simulated,5,0.139189375631117,0.5284,0.4716,80,660.5,575.1219512195122,200.0,200.0
M4,simulated,6,0.139189375631117,0.4516,0.5484,55,806.4285714285714,979.2857142857143,330.0,270.0
M4,simulated,7,0.139189375631117,0.5964,0.4036,51,1146.923076923077,776.1538461538462,260.0,120.0
M4,simulated,8,0.139189375631117,0.5248,0.4752,43,1192.7272727272727,1080.0,410.0,570.0
M4,simulated,9,0.139189375631117,0.686,0.314,58,1182.7586206896551,523.3333333333334,260.0,230.0
M4,simulated,10,0.139189375631117,0.6036,0.3964,72,838.3333333333334,535.6756756756756,190.0,140.0
M4,simulated,11,0.139189375631117,0.5168,0.4832,41,1230.4761904761904,1150.4761904761904,320.0,420.0
M4,simulated,12,0.139189375631117,0.6112,0.3888,92,664.3478260869565,413.6170212765957,100.0,100.0
M4,simulated,13,0.139189375631117,0.5156,0.4844,44,1171.8181818181818,1053.0434782608695,270.0,780.0
M4,simulated,14,0.139189375631117,0.6392,0.3608,71,887.7777777777778,501.1111111111111,250.0,170.0
M4,simulated,15,0.139189375631117,0.4416,0.5584,58,761.3793103448276,930.6666666666666,200.0,360.0
M4,simulated,16,0.139189375631117,0.5744,0.4256,74,776.2162162162163,560.0,180.0,180.0
