model,source,rep,event,barrier,regime,waiting_time_years
M2,simulated,6,6,0.139189375631117,upper,1280.0
M2,simulated,6,7,0.139189375631117,upper,80.0
M2,simulated,6,8,0.139189375631117,upper,20.0
M2,simulated,6,9,0.139189375631117,upper,40.0
M2,simulated,6,10,0.139189375631117,upper,340.0
M2,simulated,6,11,0.139189375631117,upper,80.0
M2,simulated,6,12,0.139189375631117,upper,640.0
M2,simulated,6,13,0.139189375631117,upper,40.0
M2,simulated,6,14,0.139189375631117,upper,80.0
M2,simulated,6,15,0.139189375631117,upper,40.0
M2,simulated,6,16,0.139189375631117,upper,40.0
M2,simulated,6,17,0.139189375631117,upper,20.0
M2,simulated,6,18,0.139189375631117,upper,2120.0
