traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
25,20260646,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,36.26266693394721,-126.99067170621609,38.77889521488571,150.45382666408003,-27.260025728130408,13.625204255329956,-31.32732707857435,1632.4208436893728,30.974975395166652,-37.1043868438419,234.74600850048725,6843.697802799851,447.43934121873275,0.23893297729333307,1328.4235639229391,34.83982999999998
26,20260647,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,29.69840126096467,-82.55093000664844,25.355234222613774,93.78412371297486,-7.717658373881965,20.417297520314403,4.98004815659671,1376.9809667392074,4.9066340283882095,18.38993027745946,-62.69017412970586,-3846.574415811731,179.62799068205942,0.09237974937398012,1266.328008154063,9.631417625000012
26,20260647,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.648154855756886,-130.53879110933642,52.17560176356412,151.21600737591763,-24.092266668912387,15.315324151933517,-39.493655967294295,1756.6214530264679,13.589854197700223,14.785414826497421,-282.4921011328705,7043.0738160777155,585.8820428623719,0.3013095903195841,1304.9065781195172,30.035043874999985
27,20260648,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,25.54313471229579,-85.39933762223187,-0.9740670886765179,104.72102057520492,17.33620694885741,19.260052904166617,4.8132797744972855,1141.6726420720386,92.37218857820973,-13.357713612982574,44.42934355255528,-4079.429904246208,210.89901338390706,0.10215318605032518,1135.9936763574947,6.902178458999998
27,20260648,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.40859600633012,-141.77181660539344,27.908779059876792,168.21057071470597,-8.632673973432695,25.50855272365346,-12.515434208199908,1226.8017511970845,136.4600687602596,8.020195131161271,48.42668060491391,7007.464898972081,874.5194876488375,0.42359113251898967,1220.6540535034385,19.651441165999984
28,20260649,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,28.418034683863137,-62.18802028932433,19.835277065638714,69.8456491595594,-7.154576884649098,19.64595037191723,-8.148854951305143,1265.3125254434046,1.010059964752604,-1.4654530156642889,-70.19805854006484,-4166.08122698391,75.23719376632427,0.03912052442959328,1151.948246695483,11.454558125000005
28,20260649,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.83405483195796,-120.54337490876945,57.01422321879025,138.986542671275,-34.777790963665396,19.00274991656109,-42.39860450074765,1443.1663992030221,8.997930457076817,-24.952363320434788,-39.844479869725745,6888.418734291623,261.12137117428443,0.13577333854103363,1316.1332513763955,43.00364866699999
29,20260650,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,32.55160167909094,-72.90596670072901,14.594714040136651,86.07887866166259,8.42920662646475,17.43760620074353,13.286500088784388,1295.9765824653075,65.64272720121258,-1.4561174394558098,34.81994166784723,-4336.397601183096,205.08050845320005,0.11152722399787973,1289.201228599644,7.4795168339999805
29,20260650,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,38.17917292930295,-116.7947308278932,35.937825620119554,142.59307691907642,-5.952432879789273,13.648307411117981,-27.132173580719375,1500.4477247675368,1.884902313636901,-4.894510809168737,97.60717933631322,6800.56121783028,384.0816834970103,0.2088719414240628,1352.3545599774557,62.798871874999975
30,20260651,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,29.845988548526403,-74.200127097492,8.664741589372829,89.73147387936577,6.653770701969743,22.968836353642516,24.60474597210151,1185.309007908158,37.759804748901736,23.643951445860523,13.777607781615393,-4200.75619309695,510.2313605067868,0.2610625951847412,1178.9033442402763,5.457355416999974
30,20260651,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,38.96270361274571,-127.32699308007565,36.70881481570599,151.2702888415584,-16.042949045670337,23.728177577216105,-11.350442195296685,1356.8599794541801,1.4013103224533217,8.879577098490532,37.32418771603937,6871.88579333313,507.63177114315863,0.25973250143078347,1298.9920127918533,30.406738209000025
31,20260652,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,28.09345230762385,-62.64838458645314,-0.5110487242314702,79.39640579990981,12.248739437492864,22.057383438274197,-26.85210608279059,1226.239486935575,56.59950302240216,-9.415468305929384,16.102037286255026,-3967.574804616107,389.54186322661513,0.19374568757553884,1218.2911311207351,7.790974207999966
