transition,age_ka,x,vhat,nll_m3,nll_m4,gain_m4_over_m3,cumulative_gain,q_m3,q_m4,log10_q_ratio
2124,37.52,1.2779361858013107,-2.56793793465806,2.6790831845551923,2.6787975062903113,0.00028567826488101744,23.31484746013851,4208.968894726912,4571.658530168372,0.03589806805630786
2125,37.5,1.2265774271081495,-3.6348308870891355,2.6896298242926693,2.6671453355728665,0.022484488719802798,23.337331948858314,4392.073566623966,5037.45877414305,0.059541899083122914
2126,37.48,1.1538808093663668,-0.028905912063925676,2.857030498017983,2.7951578981055634,0.061872599912419446,23.399204548770733,4363.408041359037,3910.688281535826,-0.04757262766518295
2127,37.46,1.1533026911250883,2.3972633809496324,2.7345767620322317,2.673890333276975,0.06068642875525665,23.45989097752599,5287.535428288088,4129.109237893565,-0.1073969177837514
2128,37.44,1.201247958744081,-2.3900384694422128,2.6189585076519495,2.5870921483897735,0.03186635926217596,23.491757336788165,4192.712324396245,4447.177718894406,0.025589420076314588
2129,37.42,1.1534471893552367,-0.8951187860532617,2.6393036922402775,2.593614787942681,0.04568890429759653,23.53744624108576,4217.311176219313,4013.7758068138264,-0.021482535906480367
2130,37.4,1.1355448136341715,-2.0510348637890585,3.2033367145939264,3.2083651473012695,-0.0050284327073431,23.53241780837842,4173.030003903918,4289.807422629897,0.011986289060398192
2131,37.38,1.0945241163583903,-6.332232718317399,4.559432823936762,4.4049161870438915,0.1545166368928701,23.68693444527129,5509.562621431682,6744.183880335921,0.08781227922777579
2132,37.36,0.9678794619920423,7.267353483953132,5.569081657076886,6.165559660259142,-0.5964780031822556,23.090456442089035,9433.158456628262,7143.192283241997,-0.12076478891602566
2133,37.34,1.113226531671105,14.532389180765648,3.370786970756319,3.3993306629807085,-0.02854369222438935,23.061912749864646,21300.689576606772,16579.753095160253,-0.10881560450181671
2134,37.32,1.403874315286418,-4.2677393122663165,3.3299637463643372,3.3381547747030593,-0.008191028338722095,23.053721721525925,4570.046916922876,5611.767390741563,0.08917900246910168
2135,37.3,1.3185195290410916,-8.455520921756765,3.177911839365726,3.132692280988789,0.04521955837693703,23.09894127990286,7049.0349088832445,9312.589970061446,0.12094082022175413
2136,37.28,1.1494091106059563,1.8546434617861207,2.952130583214945,2.8884143585871955,0.06371622462774962,23.16265750453061,5014.966694591961,4016.8235921798214,-0.09638529399460652
2137,37.26,1.1865019798416787,3.414981527898764,3.2245513243601107,3.28567296752823,-0.06112164316811919,23.101535861362493,5901.122297618064,4418.565459759641,-0.1256533219308587
2138,37.24,1.254801610399654,-5.528023497607015,2.678793357452587,2.6818858764247278,-0.003092518972140912,23.09844334239035,5078.244996441803,6327.174462798657,0.09549616039216932
2139,37.22,1.1442411404475137,-0.7672784837330138,2.9937535498265135,2.9408415019988277,0.05291204782768588,23.151355390218036,4232.787984150607,3990.247326044111,-0.025626700432538542
2140,37.2,1.1288955707728534,3.0973704163206772,2.7561240662396282,2.689760529749804,0.06636353648982407,23.21771892670786,5695.298925451562,4347.770797000563,-0.11724988238637803
2141,37.18,1.190842979099267,-2.294283007473341,2.9388616294997094,2.8904008390291773,0.04846079047053209,23.266179717178392,4185.6513233903515,4405.14955156848,0.022197609425612913
2142,37.16,1.1449573189498001,2.309286758523643,3.3126950679082796,3.3778824214612566,-0.065187353552977,23.200992363625417,5240.764621953939,4112.202714592605,-0.10532013926960038
2143,37.14,1.191143054120273,-5.942478011044172,9.454855305377814,9.000102158205006,0.45475314717280746,23.655745510798226,5290.114237238409,6566.741632056893,0.0938848788431567
2144,37.12,1.0722934938993895,-19.990422769187145,2.8868049528473714,2.9450698151680634,-0.05826486232069206,23.597480648477536,25568.263203828494,30096.01524010511,0.07080776977121796
2145,37.1,0.6724850385156467,-7.173798713545754,4.464886162511713,4.426611646572491,0.038274515939222375,23.635755164416757,6050.199279230383,6799.171815760525,0.05068633645895329
2146,37.08,0.5290090642447316,7.209544917034361,3.341488950258227,3.323079610273913,0.01840933998431371,23.65416450440107,9366.016256254585,7903.006575111641,-0.07376256397393764
2147,37.06,0.6731999625854188,7.937515580189047,2.8340142667382575,2.708644979904888,0.12536928683336956,23.77953379123444,10242.972339778404,8366.84596495133,-0.08786422632113386
2148,37.04,0.8319502741891998,0.45258702869654943,2.685447717210179,2.5921073993687447,0.09334031784143448,23.872874109075873,4486.448424330315,3930.926622919532,-0.057407742429399576
2149,37.02,0.8410020147631307,1.2634505218585002,6.67415609311372,7.26193872160513,-0.5877826284914098,23.285091480584462,4761.208732291811,4029.6128952724443,-0.07245389379482861
2150,37.0,0.8662710252003007,-13.634366112507568,4.6450418847460275,4.465727101540937,0.17931478320509076,23.464406263789552,13241.701264074098,15592.871056172205,0.07098230167721979
2151,36.98,0.5935837029501494,-14.709140768070306,2.7305453942867093,2.717332010501211,0.013213383785498412,23.47761964757505,14960.149502993943,16586.621263883797,0.04482199452911131
2152,36.96,0.2994008875887433,-3.9036131843118937,2.732281578156724,2.6713406265428663,0.060940951613857486,23.53856059918891,4461.3458605853475,4417.379099191521,-0.004301220732704847
2153,36.94,0.2213286239025054,-3.102133164213683,2.727442779889106,2.6708418142462707,0.056600965642835455,23.595161564831745,4282.305731937118,4145.286066453255,-0.01412316357702504
2154,36.92,0.15928596061823175,0.46199630331527075,3.216551514011325,3.2012482054103377,0.015303308600987275,23.610464873432733,4489.150622712536,4161.7930057254525,-0.03288370136464782
2155,36.9,0.16852588668453716,4.820588158582773,3.3864535448809083,3.3794431269493206,0.007010417931587742,23.617475291364322,6968.14681607035,6388.95637538457,-0.03768736978357011
2156,36.88,0.2649376498561926,7.091764480459739,3.887426061558677,3.9429594193582433,-0.055533357799566474,23.561941933564754,9230.55243556272,8308.928125957565,-0.04568269147379781
2157,36.86,0.4067729394653874,10.231782827320535,3.041155627919992,2.9515122090107826,0.08964341890920924,23.651585352473962,13453.758760406556,11852.370266654916,-0.05503842574579311
2158,36.84,0.6114085960117981,6.468701504620977,3.3462701400307493,3.352805267165345,-0.006535127134595697,23.645050225339368,8543.699487397877,7048.506987839992,-0.08354882962077495
2159,36.82,0.7407826261042176,-4.194898744092379,2.7576643820389117,2.703944964420539,0.053719417618372844,23.698769642957743,4546.934379206359,4873.348270053418,0.030108762442398136
2160,36.8,0.65688465122237,-3.572038355509344,2.8131419048239157,2.755317347137498,0.05782455768641759,23.75659420064416,4377.23242891559,4529.902767636995,0.01488927212214701
2161,36.78,0.5854438841121832,1.8177756443055415,3.129834974340142,3.09397185263502,0.03586312170512196,23.792457322349282,4997.824484735911,4291.712301821419,-0.06615039934926066
2162,36.76,0.621799396998294,5.180353597754239,2.955779913627742,2.8829078445367116,0.0728720690910305,23.865329391440312,7282.194052873977,5990.520495910535,-0.08479768925439293
2163,36.74,0.7254064689533788,-2.0981454421939105,2.8889472225590405,2.837032647686676,0.051914574872364394,23.917243966312675,4174.8787598776335,4111.216261708031,-0.006673545409683849
2164,36.72,0.6834435601095006,-3.9534789912532897,2.714854801985387,2.6536012486572154,0.061253553328171506,23.978497519640847,4475.221896180888,4710.874211667259,0.022286934062913582
2165,36.7,0.6043739802844348,0.8118632075550192,3.740685162747394,3.8029475697816784,-0.06226240703428454,23.91623511260656,4597.729971299676,4039.7979974302216,-0.05618381162031713
