k,age_ka,X_old,X_new,Vhat_old,Vhat_new,regime_switch,m2_ios_contribution,m2_loo_valid,m2_nit,m2_seconds,m2_parameter_shift_relative,m2_start_kind,m2_warm_start_excess_nll,m3_ios_contribution,m3_loo_valid,m3_nit,m3_seconds,m3_parameter_shift_relative,m3_start_kind,m3_warm_start_excess_nll,m4_ios_contribution,m4_loo_valid,m4_nit,m4_seconds,m4_parameter_shift_relative,m4_start_kind,m4_warm_start_excess_nll
1516,49.68,0.4671878373676055,0.34792656902028263,-5.963063417366143,-1.6513630990161232,False,0.0002352415904849,True,1,0.0335944999999924,0.0002223478952812,full fit warm start,0.0,0.0002603584610296,True,1,0.0421028340000191,0.0002426461045815,full fit warm start,0.0,0.0004630328738439,True,22,0.8815061659997809,0.0033413229241205,full fit warm start,0.0
1517,49.66,0.34792656902028263,0.31489930703996016,-1.6513630990161232,2.330761128063452,False,0.0001880373566893,True,1,0.0335240829999889,0.00017766281873,full fit warm start,0.0,0.0002012378230187,True,1,0.0417072079999911,0.0002486516280314,full fit warm start,0.0,0.0009073852286394,True,58,1.6385560410003563,0.0305611330085792,full fit warm start,0.0
1518,49.64,0.31489930703996016,0.3615145296012292,2.330761128063452,-6.041291476462796,False,-6.421140613888099e-06,True,1,0.0336305410000079,7.341984929645979e-05,full fit warm start,0.0,1.0098662514224088e-05,True,1,0.0416533750000098,0.0003508580646181,full fit warm start,0.0,0.0027309863566711,True,74,2.650763457999801,0.0545739990236115,full fit warm start,0.0
1519,49.62,0.3615145296012292,0.2406887000719733,-6.041291476462796,-10.13810343273307,False,0.0002933784039775,True,2,0.0476503750000034,0.0002512077614233,full fit warm start,0.0,0.000303668126639,True,2,0.0609982910000042,0.0008373454036783,full fit warm start,0.0,0.0064766902320725,True,76,2.3447215410001263,0.0902002929180032,full fit warm start,0.0
1520,49.6,0.2406887000719733,0.037926631417311896,-10.13810343273307,-2.8646298500081713,False,0.0002582017504404,True,2,0.0476691249999987,0.0001996741557835,full fit warm start,0.0,0.0002828697775001,True,2,0.0598504170000069,0.0002234931918013,full fit warm start,0.0,0.0005099344779337,True,55,1.8211599999999637,0.008395831228017,full fit warm start,0.0
1521,49.58,0.037926631417311896,-0.01936596558285153,-2.8646298500081713,1.5557769533431465,True,0.0002390802526388,True,1,0.0335312919999921,0.0001875487978794,full fit warm start,0.0,0.000251831350317,True,1,0.0414203330000191,0.0002431951155342,full fit warm start,0.0,0.0012356554612868,True,51,1.480425166999794,0.0351174224938504,full fit warm start,0.0
1522,49.56,-0.01936596558285153,0.0117495734840114,1.5557769533431465,-3.6834781440056474,True,0.000120675139541,True,1,0.0336515829999939,0.0001290970424876,full fit warm start,0.0,0.0001356242263375,True,1,0.0416887080000094,0.000316838326306,full fit warm start,0.0,0.0014064988939033,True,64,2.0004875419999735,0.04471149192745,full fit warm start,0.0
1523,49.54,0.0117495734840114,-0.06191998939610155,-3.6834781440056474,-9.473405253112643,True,6.053318621912496e-05,True,1,0.0340897079999962,0.0001863778773449,full fit warm start,0.0,5.423961869333027e-05,True,1,0.0430247079999901,0.0005080017121644,full fit warm start,0.0,0.0055213664974349,True,72,2.210349625000162,0.0879740959121298,full fit warm start,0.0
1524,49.52,-0.06191998939610155,-0.2513880944583544,-9.473405253112643,-4.954076744062297,False,0.0001419800135353,True,1,0.0355667919999973,0.0001694652269615,full fit warm start,0.0,0.0001648059812948,True,1,0.0426463750000039,0.0002290769214385,full fit warm start,0.0,0.0009906697235031,True,69,2.7818314579999424,0.0174873511251467,full fit warm start,0.0
1525,49.5,-0.2513880944583544,-0.35046962933960035,-4.954076744062297,-2.32045278573354,False,0.0001973149700731,True,1,0.0338285419999948,0.0002108976742589,full fit warm start,0.0,0.0002159541284956,True,1,0.0416500000000041,0.0002359492232755,full fit warm start,0.0,0.0006362279171279,True,23,1.0073189160002585,0.0037122575903425,full fit warm start,0.0
1526,49.48,-0.35046962933960035,-0.39687868505427115,-2.32045278573354,-2.2673607903630266,False,0.0001665906726642,True,1,0.0374126249999875,0.0001949960406914,full fit warm start,0.0,0.0001865977872279,True,1,0.041492541999986,0.0002381806773624,full fit warm start,0.0,0.0006275531612875,True,40,1.3448270829999274,0.0112340561921253,full fit warm start,0.0
1527,49.46,-0.39687868505427115,-0.4422259008615317,-2.2673607903630266,3.9891952038581646,False,6.08232567804734e-05,True,1,0.033924374999998,0.0001459968603015,full fit warm start,0.0,7.194159464640748e-05,True,1,0.0414929169999993,0.0003223021425379,full fit warm start,0.0,0.0017066567383947,True,47,1.8285089589999188,0.0442342196182913,full fit warm start,0.0
1528,49.44,-0.4422259008615317,-0.3624419967843684,3.9891952038581646,-7.474867638001381,False,0.000142213449866,True,1,0.0358824999999995,0.0001231325710238,full fit warm start,0.0,0.0001401303141976,True,1,0.0414892919999942,0.0004511724347934,full fit warm start,0.0,0.0034154621431401,True,69,2.2494152079998457,0.0587483552586955,full fit warm start,0.0
1529,49.42,-0.3624419967843684,-0.511939349544396,-7.474867638001381,-3.379905695380092,False,0.0001947989681938,True,1,0.0337586670000007,0.0002125239553084,full fit warm start,0.0,0.0002166096860061,True,1,0.0415209999999888,0.0002389618918453,full fit warm start,0.0,0.0007749604267326,True,17,0.5175844170003074,0.0045212308027743,full fit warm start,0.0
1530,49.4,-0.511939349544396,-0.5795374634519979,-3.379905695380092,1.7082911145163582,False,0.0001883841457512,True,1,0.0338182919999923,0.0002177052959492,full fit warm start,0.0,0.0001999599269644,True,1,0.0414440829999875,0.0002813272864064,full fit warm start,0.0,0.000896879614797,True,61,1.7071782499997423,0.0218689814978343,full fit warm start,0.0
1531,49.38,-0.5795374634519979,-0.5453716411616707,1.7082911145163582,-5.822884668198158,False,3.4779279142860275e-05,True,1,0.0335858749999999,4.456510007938134e-05,full fit warm start,0.0,4.5055143775840634e-05,True,1,0.0414122499999791,0.0003686071033693,full fit warm start,0.0,0.0018276492795838,True,65,2.325447166000231,0.0433678423792546,full fit warm start,0.0
1532,49.36,-0.5453716411616707,-0.6618293345256339,-5.822884668198158,-0.4706302746492419,False,0.0001944466020509,True,2,0.0479600000000033,0.0001874762702502,full fit warm start,0.0,0.0002068163596109,True,2,0.0596411249999846,0.000247512922786,full fit warm start,0.0,0.0007507722178816,True,16,0.813702166999974,0.0052226812065941,full fit warm start,0.0
1533,49.34,-0.6618293345256339,-0.6712419400186187,-0.4706302746492419,21.23620935226942,False,0.0504861923970647,True,19,0.3331132910000036,0.0503788656416154,full fit warm start,0.0,0.051753646174637,True,20,0.386499791999995,0.2465555850047595,full fit warm start,0.0,0.1817952982752508,True,107,3.339970166999592,0.1933785505770807,full fit warm start,0.0
